Br-77,7.20E-11,8.30E-11,5.10E-08,6.00E-05,1.60E-02
Br-80,8.80E-11,3.10E-11,1.30E-08,1.00E-03,1.60E-02
Br-80m,1.10E-10,1.10E-10,1.20E-08,1.00E-05,1.60E-02
Br-82,4.10E-10,4.70E-10,3.95E-07,1.00E-03,1.60E-02
Br-83,2.60E-11,4.20E-11,1.00E-09,1.00E-03,1.60E-02
Br-84,3.00E-11,8.80E-11,9.23E-07,1.00E-03,1.60E-02
C-11,3.30E-12,3.30E-12,1.60E-07,1.00E-03,1.60E-02
C-14,5.60E-10,5.60E-10,1.00E-09,2.00E-04,1.60E-02
Ca-41,2.90E-10,2.70E-10,1.00E-09,1.00E-06,1.60E-02
Ca-45,1.80E-09,8.60E-10,1.00E-09,7.00E-04,1.60E-02
Ca-47,1.90E-09,2.10E-09,1.56E-07,1.00E-03,1.60E-02
Cd-104,1.80E-11,4.90E-11,6.20E-08,2.00E-05,1.60E-02
Cd-107,2.80E-11,6.80E-11,3.00E-08,2.00E-05,1.60E-02
Cd-109,1.60E-08,2.20E-09,2.70E-08,5.00E-06,1.60E-02
Cd-113,2.30E-07,2.50E-08,1.00E-09,1.00E-03,1.60E-02
Cd-113m,2.10E-07,2.30E-08,1.00E-09,1.00E-03,1.60E-02
Cd-115,1.30E-09,2.00E-09,3.70E-08,1.00E-03,1.60E-02
Cd-115m,1.10E-08,3.90E-09,3.00E-09,1.00E-03,1.60E-02
Cd-117,1.00E-10,2.60E-10,1.58E-07,1.00E-03,1.60E-02
Cd-117m,9.70E-11,2.70E-10,2.82E-07,1.00E-03,1.60E-02
Ce-134,2.60E-09,3.60E-09,1.49E-07,6.00E-04,1.60E-02
Ce-135,4.30E-10,9.10E-10,2.71E-07,2.00E-03,1.60E-02
Ce-137,1.10E-11,2.80E-11,1.60E-08,1.00E-05,1.60E-02
Ce-137m,4.30E-10,7.40E-10,1.60E-08,2.00E-03,1.60E-02
Ce-139,2.40E-09,3.70E-10,3.60E-08,5.00E-04,1.60E-02
Ce-141,2.60E-09,1.10E-09,1.40E-08,2.00E-03,1.60E-02
Ce-143,1.00E-09,1.50E-09,5.30E-08,1.00E-03,1.60E-02
Ce-144,1.00E-07,8.20E-08,5.00E-09,8.00E-04,1.60E-02
Cf-244,2.50E-09,7.20E-11,3.00E-09,1.00E-06,1.60E-02
Cf-246,1.60E-07,4.60E-09,2.00E-09,1.00E-06,1.60E-02
Cf-248,1.30E-05,5.40E-08,2.00E-09,1.00E-06,1.60E-02
Cf-249,8.60E-05,7.00E-07,6.00E-08,2.00E-04,1.60E-02
Cf-250,4.50E-05,3.20E-07,2.00E-09,1.00E-06,1.60E-02
Cf-251,8.70E-05,7.10E-07,3.70E-08,1.00E-03,1.60E-02
Cf-252,4.00E-05,1.70E-07,2.00E-09,1.00E-06,1.60E-02
Cf-253,8.30E-07,2.70E-09,1.00E-09,8.00E-04,1.60E-02
Cf-254,7.90E-05,6.10E-07,1.00E-09,1.00E-06,1.60E-02
Cl-36,5.90E-09,8.40E-10,1.00E-09,1.00E-03,1.60E-02
Cl-38,4.20E-11,1.30E-10,1.55E-06,1.00E-03,1.60E-02
Cl-39,3.50E-11,8.40E-11,2.41E-07,1.00E-03,1.60E-02
Cm-238,1.30E-09,7.70E-11,2.10E-08,7.00E-06,1.60E-02
Cm-240,1.70E-06,1.50E-08,3.00E-09,1.00E-06,1.60E-02
Cm-241,2.80E-08,1.40E-09,1.00E-07,6.00E-04,1.60E-02
Cm-242,3.50E-06,2.30E-08,2.00E-09,1.00E-06,1.60E-02
Cm-243,5.00E-05,4.00E-07,3.30E-08,1.00E-03,1.60E-02
Cm-244,4.00E-05,3.30E-07,2.00E-09,1.00E-06,1.60E-02
Cm-245,7.30E-05,5.90E-07,2.80E-08,4.00E-04,1.60E-02
Cm-246,7.20E-05,5.90E-07,2.00E-09,1.00E-06,1.60E-02
Cm-247,6.60E-05,5.40E-07,5.30E-08,1.00E-04,1.60E-02
Cm-248,2.60E-04,2.20E-06,2.00E-09,1.00E-06,1.60E-02
Cm-249,3.50E-11,2.60E-11,3.00E-09,1.00E-03,1.60E-02
Cm-250,1.50E-03,1.20E-05,1.00E-09,1.00E-06,1.60E-02
Co-55,5.70E-10,1.20E-09,3.02E-07,1.00E-03,1.60E-02
Co-56,1.10E-08,3.50E-09,4.85E-07,3.00E-04,1.60E-02
Co-57,2.40E-09,3.30E-10,2.10E-08,1.00E-04,1.60E-02
Co-58,2.90E-09,9.90E-10,1.47E-07,3.00E-04,1.60E-02
Co-58m,2.60E-11,2.40E-11,1.00E-09,1.00E-05,1.60E-02
Co-60,5.60E-08,7.10E-09,3.66E-07,1.00E-03,1.60E-02
Co-60m,5.70E-13,1.70E-12,1.00E-09,2.00E-05,1.60E-02
Co-61,2.80E-11,5.90E-11,1.70E-08,1.00E-03,1.60E-02
Co-62m,9.60E-12,4.60E-11,4.36E-07,1.00E-03,1.60E-02
Cr-48,2.40E-10,2.40E-10,7.10E-08,5.00E-05,1.60E-02
Cr-49,2.00E-11,5.50E-11,1.66E-07,1.00E-03,1.60E-02
Cr-51,9.40E-11,4.50E-11,5.00E-09,3.00E-06,1.60E-02
Cs-125,1.30E-11,3.30E-11,1.14E-07,5.00E-04,1.60E-02
Cs-126,9.40E-11,2.00E-10,8.05E-07,9.00E-04,1.60E-02
Cs-127,1.60E-11,2.40E-11,7.90E-08,1.00E-04,1.60E-02
Cs-128,9.30E-10,3.60E-09,2.09E-07,7.00E-04,1.60E-02
Cs-129,4.30E-11,6.10E-11,6.30E-08,3.00E-05,1.60E-02
Cs-130,9.20E-12,2.80E-11,8.70E-08,5.00E-04,1.60E-02
Cs-131,4.40E-11,6.60E-11,1.60E-08,2.00E-06,1.60E-02
Cs-132,3.30E-10,5.10E-10,1.10E-07,5.00E-05,1.60E-02
Cs-134,1.30E-08,2.00E-08,2.36E-07,1.00E-03,1.60E-02
Cs-134m,1.30E-11,2.00E-11,9.00E-09,1.00E-03,1.60E-02
Cs-135,1.20E-09,1.90E-09,1.00E-09,6.00E-04,1.60E-02
Cs-135m,7.00E-12,1.90E-11,2.39E-07,7.00E-05,1.60E-02
Cs-136,2.00E-09,3.00E-09,3.27E-07,1.00E-03,1.60E-02
